kommun;year;value
0183;2020;-44190.507756
0183;2021;-49251.064148
0183;2022;-50005.49288
0183;2023;-51347.5998
0183;2024;-55005.686463
0183;2025;-55948.894737
0184;2015;-34456.734683
0184;2016;-39734.451996
0184;2017;-33868.618816
0184;2018;-35742.9895
0184;2019;-37194.992054
0184;2020;-31060.003367
0184;2021;-30910.995759
0184;2022;-33765.851375
0184;2023;-39436.260623
0184;2024;-39664.047838
0184;2025;-45944.443802
0186;2015;-51339.251004
0186;2016;-51084.028771
0186;2017;-53101.854403
0186;2018;-54742.774687
0186;2019;-55765.018806
0186;2020;-54710.634309
0186;2021;-54956.231054
0186;2022;-56834.902544
0186;2023;-63020.590183
0186;2024;-66224.63154
0186;2025;-63315.55335
0187;2015;-45063.884007
0187;2016;-49541.519663
0187;2017;-50883.103711
0187;2018;-52249.355402
0187;2019;-54678.163792
0187;2020;-55334.090527
0187;2021;-47886.295432
0187;2022;-43078.40995
0187;2023;-59702.970297
0187;2024;-62761.715446
0187;2025;-65166.8099
0188;2015;-47959.17776
0188;2016;-48378.155503
0188;2017;-50676.637942
0188;2018;-51419.433697
0188;2019;-53984.222797
0188;2020;-54501.908187
0188;2021;-55150.751984
0188;2022;-56588.912437
0188;2023;-61886.635244
0188;2024;-65571.239769
0188;2025;-68669.095643
0191;2015;-47673.179118
0191;2016;-48797.899468
0191;2017;-51420.375005
0191;2018;-51738.437565
0191;2019;-52769.79005
0191;2020;-54263.076085
0191;2021;-52451.176576
0191;2022;-57324.157607
0191;2023;-58965.143064
0191;2024;-63676.597116
0191;2025;-63931.434461
0192;2015;-45164.690909
0192;2016;-48447.174978
0192;2017;-50095.307553
0192;2018;-51259.879816
0192;2019;-52885.879265
0192;2020;-52046.579431
0192;2021;-54577.894558
0192;2022;-54777.618746
0192;2023;-62553.330474
0192;2024;-63103.60051
0192;2025;-64463.835348
0305;2015;-45486.71039
0305;2016;-45961.373391
0305;2017;-47855.28625
0305;2018;-49909.84975
0305;2019;-53260.599982
0305;2020;-53702.938371
0305;2021;-52614.348371
0305;2022;-59375.92796
0305;2023;-64031.94916
0305;2024;-67565.185217
0305;2025;-66076.552555
0319;2015;-49899.386635
0319;2016;-50845.738486
0319;2017;-54203.254627
0319;2018;-58598.701022
0319;2019;-61118.430792
0319;2020;-61091.157607
0319;2021;-62209.411031
0319;2022;-65241.766234
0319;2023;-72263.163393
0319;2024;-72047.948074
0319;2025;-74534.524183
0330;2015;-48681.664592
0330;2016;-52412.3997
0330;2017;-52421.667405
0330;2018;-57082.852564
0330;2019;-60363.578444
0330;2020;-59642.311316
0330;2021;-58897.265113
0330;2022;-61026.771966
0330;2023;-63659.264266
0330;2024;-67230.359081
0330;2025;-65230.893112
0331;2015;-53230.175077
0331;2016;-54677.135587
0331;2017;-56649.34315
0331;2018;-59731.200575
0331;2019;-61064.711326
0331;2020;-61300.475144
0331;2021;-62141.299028
0331;2022;-64234.103044
0331;2023;-72042.947779
0331;2024;-75517.880795
0331;2025;-77409.877408
0360;2015;-51334.404049
0360;2016;-51892.691863
0360;2017;-55386.239847
0360;2018;-58542.05519
0360;2019;-60011.118471
0360;2020;-61654.100436
0360;2021;-61617.221317
0360;2022;-66936.793422
0360;2023;-70287.689331
0360;2024;-74601.781653
0360;2025;-76226.507514
0380;2015;-46900.445447
0380;2016;-47902.539628
0380;2017;-48391.202925
0380;2018;-50385.48347
0380;2019;-52468.169192
0380;2020;-52659.697484
0380;2021;-53991.695988
0380;2022;-58044.77575
0380;2023;-62493.427194
0380;2024;-64591.369105
0380;2025;-63891.180734
0381;2015;-48821.497625
0381;2016;-50194.938122
0381;2017;-52029.933557
0381;2018;-54706.520516
0381;2019;-55390.200278
0381;2020;-55492.75519
0381;2021;-58854.471562
0381;2022;-61591.414479
0381;2023;-64572.475772
0381;2024;-69194.892058
0381;2025;-70078.026391
0382;2015;-49589.94574
0382;2016;-48729.355696
0382;2017;-53585.670634
0382;2018;-55982.719521
0382;2019;-56766.067416
0382;2020;-58488.472428
0382;2021;-59730.996244
0382;2022;-64545.918367
0382;2023;-69267.634855
0382;2024;-73155.072726
0382;2025;-72019.205626
0428;2015;-52960.571875
0428;2016;-56389.163644
0428;2017;-60446.949891
0428;2018;-66984.457093
0428;2019;-64935.7919
0428;2020;-65391.076115
0428;2021;-67847.953216
0428;2022;-70690.346287
0428;2023;-80099.028907
0428;2024;-83886.285714
0428;2025;-77518.693746
0461;2015;-51631.420791
0461;2016;-53284.688334
0461;2017;-54864.416009
0461;2018;-57258.520958
0461;2019;-59741.399032
0461;2020;-61668.768059
0461;2021;-63930.079041
0461;2022;-67631.588012
0461;2023;-73223.4375
0461;2024;-75852.5048
0461;2025;-76819.359958
0480;2015;-50415.74214
0480;2016;-52858.641031
0480;2017;-55686.372077
0480;2018;-58257.074503
0480;2019;-59599.830362
0480;2020;-60735.96047
0480;2021;-62845.574584
0480;2022;-63627.152238
0480;2023;-69555.876289
0480;2024;-72470.862471
0480;2025;-73330.097753
0481;2015;-49193.060422
0481;2016;-50413.472024
0481;2017;-51707.778148
0481;2018;-56643.342729
0481;2019;-59556.788784
0481;2020;-59408.586911
0481;2021;-62217.276624
0481;2022;-67621.54559
0481;2023;-71760.118949
0481;2024;-74954.866595
0481;2025;-73541.882628
0482;2015;-53388.199513
0482;2016;-56846.345811
0482;2017;-59570.979602
0482;2018;-63717.749177
0482;2019;-64921.133554
0482;2020;-67018.866776
0482;2021;-70000.306448
0482;2022;-73443.766347
0482;2023;-79622.79806
0482;2024;-84676.864992
0482;2025;-87096.588274
0483;2015;-54534.965035
0483;2016;-56873.732282
0483;2017;-59948.759265
0483;2018;-62131.230101
0483;2019;-63375.37045
0483;2020;-64341.694233
0483;2021;-67615.23415
0483;2022;-69925.413247
0483;2023;-75366.419998
0483;2024;-77096.85542
0483;2025;-77168.873588
0484;2015;-53227.688238
0484;2016;-54097.498168
0484;2017;-56280.271992
0484;2018;-59639.316869
0484;2019;-61443.481597
0484;2020;-62956.756251
0484;2021;-63988.809681
0484;2022;-66681.174596
0484;2023;-73684.864332
0484;2024;-76543.277707
0484;2025;-75617.96627
0486;2015;-50475.309366
0486;2016;-51826.374642
0486;2017;-53394.093309
0486;2018;-53953.189228
0486;2019;-54278.021016
0486;2020;-55476.696165
0486;2021;-57307.875895
0486;2022;-60711.415667
0486;2023;-68081.506797
0486;2024;-68413.756264
0486;2025;-70017.315358
0488;2015;-48225.451234
0488;2016;-48392.865751
0488;2017;-49538.401982
0488;2018;-51813.960478
0488;2019;-52649.596276
0488;2020;-53524.495073
0488;2021;-55466.844044
0488;2022;-60124.254743
0488;2023;-64843.869667
0488;2024;-67854.49186
0488;2025;-65847.04698
0509;2015;-50460.275019
0509;2016;-51214.245548
0509;2017;-52461.351301
0509;2018;-55366.334774
0509;2019;-57339.703954
0509;2020;-59513.488198
0509;2021;-62650.216613
0509;2022;-65983.825465
0509;2023;-71785.376018
0509;2024;-73869.199924
0509;2025;-75150.928941
0512;2015;-50135.866594
0512;2016;-53355.37415
0512;2017;-55388.9633
0512;2018;-58286.935613
0512;2019;-60265.54577
0512;2020;-64126.409018
0512;2021;-65652.503383
0512;2022;-67847.135487
0512;2023;-74929.337366
0512;2024;-79816.878103
0512;2025;-76620.889749
0513;2015;-49977.437468
0513;2016;-51571.095807
0513;2017;-55003.137017
0513;2018;-56861.522945
0513;2019;-59719.919517
0513;2020;-59037.733961
0513;2021;-60574.741242
0513;2022;-66104.88677
0513;2023;-72883.706966
0513;2024;-77896.956915
0513;2025;-77533.353486
0560;2015;-49472.222222
0560;2016;-52780.197283
0560;2017;-54869.429672
0560;2018;-59189.759589
0560;2019;-63131.482834
0560;2020;-59768.608712
0560;2021;-63787.191582
0560;2022;-66820.662059
0560;2023;-69378.417527
0560;2024;-73435.925322
0560;2025;-76509.998165
0561;2015;-49108.791685
0561;2016;-50232.159766
0561;2017;-53217.264208
0561;2018;-55960.995059
0561;2019;-57599.40885
0561;2020;-57974.18395
0561;2021;-59744.285465
0561;2022;-62811.228924
0561;2023;-67140.226876
0561;2024;-70533.269382
0561;2025;-68881.81027
0562;2015;-53061.040615
0562;2016;-53397.379913
0562;2017;-56751.633684
0562;2018;-58348.193768
0562;2019;-60052.30011
0562;2020;-61775.878704
0562;2021;-63450.637306
0562;2022;-66747.75145
0562;2023;-72803.632341
0562;2024;-74335.383619
0562;2025;-74831.643568
0563;2015;-51647.734607
0563;2016;-53529.645281
0563;2017;-57345.707071
0563;2018;-62016.968326
0563;2019;-65910.199416
0563;2020;-64293.524622
0563;2021;-67012.532637
0563;2022;-70176.933159
0563;2023;-76676.568094
0563;2024;-79158.272425
0563;2025;-74974.355567
0580;2015;-47743.420106
0580;2016;-49576.233659
0580;2017;-50534.216503
0580;2018;-52723.226151
0580;2019;-54994.00801
0580;2020;-55076.894105
0580;2021;-58239.731283
0580;2022;-58732.338171
0580;2023;-63191.578457
0580;2024;-65791.150653
0580;2025;-66388.871107
0581;2015;-50070.704565
0581;2016;-51679.125736
0581;2017;-53814.953841
