lan;year;sold;value_sek
20;2024;43;31615000
20;2025;55;33670926
21;2010;41;14528897
21;2011;37;353635500
21;2012;29;12296000
21;2013;21;11626000
21;2014;40;17601226
21;2015;34;14596000
21;2016;31;13748000
21;2017;30;18529512
21;2018;32;21814000
21;2019;31;24278446
21;2020;31;20098000
21;2021;46;46197000
21;2022;28;29539000
21;2023;26;20804000
21;2024;37;28207413
21;2025;40;23146000
22;2010;32;6037700
22;2011;28;58873000
22;2012;34;8538000
22;2013;33;8895434
22;2014;34;9774995
22;2015;27;9016500
22;2016;41;21180060
22;2017;32;11614500
22;2018;35;13252000
22;2019;28;15662200
22;2020;50;23893500
22;2021;49;26473000
22;2022;35;22182000
22;2023;43;23487746
22;2024;40;20656000
22;2025;23;14922528
23;2010;21;4705340
23;2011;23;10325000
23;2012;20;9747130
23;2013;28;10934638
23;2014;30;18015000
23;2015;23;8989000
23;2016;24;22498279
23;2017;22;11219000
23;2018;23;11793500
23;2019;35;12156000
23;2020;23;16767500
23;2021;23;19292690
23;2022;23;11210000
23;2023;16;9095000
23;2024;26;20636000
23;2025;16;16777000
24;2010;24;11422000
24;2011;25;24706000
24;2012;30;8984000
24;2013;26;8590002
24;2014;21;7368000
24;2015;26;19182000
24;2016;21;10859945
24;2017;30;16391685
24;2018;23;21885000
24;2019;25;17825000
24;2020;30;14757000
24;2021;23;13976500
24;2022;21;15275000
24;2023;18;16983000
24;2024;23;28286500
24;2025;23;43180000
25;2010;26;16117400
25;2011;44;28836324
25;2012;12;6769000
25;2013;21;9297000
25;2014;26;7779430
25;2015;19;8405000
25;2016;29;9510001
25;2017;26;8589000
25;2018;21;12625000
25;2019;24;20388100
25;2020;27;29427500
25;2021;24;19280000
25;2022;26;21310000
25;2023;22;22580191
25;2024;30;19502500
25;2025;25;50377000
