kommun;year;value
0188;2018;19.72
0188;2019;19.72
0188;2020;19.72
0188;2021;19.72
0188;2022;19.72
0188;2023;19.72
0188;2024;19.72
0188;2025;19.72
0188;2026;19.72
0191;2015;19.98
0191;2016;20.0
0191;2017;20.0
0191;2018;20.0
0191;2019;20.0
0191;2020;20.0
0191;2021;20.0
0191;2022;20.0
0191;2023;20.0
0191;2024;20.0
0191;2025;19.7
0191;2026;19.5
0192;2015;19.83
0192;2016;19.85
0192;2017;19.85
0192;2018;19.85
0192;2019;19.85
0192;2020;19.85
0192;2021;19.85
0192;2022;19.85
0192;2023;19.85
0192;2024;19.85
0192;2025;19.85
0192;2026;19.85
0305;2015;21.34
0305;2016;21.34
0305;2017;21.34
0305;2018;21.34
0305;2019;21.34
0305;2020;21.09
0305;2021;21.09
0305;2022;21.09
0305;2023;21.09
0305;2024;21.59
0305;2025;21.59
0305;2026;21.59
0319;2015;22.69
0319;2016;22.69
0319;2017;22.69
0319;2018;22.69
0319;2019;22.69
0319;2020;22.69
0319;2021;22.69
0319;2022;22.69
0319;2023;22.69
0319;2024;22.69
0319;2025;22.69
0319;2026;22.69
0330;2015;20.91
0330;2016;20.91
0330;2017;20.91
0330;2018;20.91
0330;2019;21.61
0330;2020;21.61
0330;2021;21.51
0330;2022;20.91
0330;2023;20.91
0330;2024;20.91
0330;2025;20.91
0330;2026;20.91
0331;2015;22.5
0331;2016;22.5
0331;2017;22.5
0331;2018;22.5
0331;2019;22.5
0331;2020;22.5
0331;2021;22.5
0331;2022;22.5
0331;2023;22.5
0331;2024;22.5
0331;2025;22.5
0331;2026;22.5
0360;2015;20.99
0360;2016;20.99
0360;2017;20.99
0360;2018;20.99
0360;2019;20.99
0360;2020;21.29
0360;2021;21.29
0360;2022;21.29
0360;2023;21.29
0360;2024;21.29
0360;2025;21.29
0360;2026;21.29
0380;2015;20.84
0380;2016;21.14
0380;2017;21.14
0380;2018;21.14
0380;2019;21.14
0380;2020;21.14
0380;2021;21.14
0380;2022;21.14
0380;2023;21.14
0380;2024;21.14
0380;2025;21.14
0380;2026;21.14
0381;2015;21.34
0381;2016;21.34
0381;2017;21.34
0381;2018;21.34
0381;2019;21.34
0381;2020;21.34
0381;2021;21.34
0381;2022;21.34
0381;2023;21.34
0381;2024;21.34
0381;2025;21.34
0381;2026;21.34
0382;2015;21.69
0382;2016;21.69
0382;2017;21.69
0382;2018;21.69
0382;2019;21.69
0382;2020;21.69
0382;2021;21.69
0382;2022;21.69
0382;2023;21.69
0382;2024;21.69
0382;2025;21.64
0382;2026;21.59
0428;2015;22.73
0428;2016;22.73
0428;2017;22.73
0428;2018;22.73
