kommun;year;status
2584;2020;shortage
0115;2021;shortage
0117;2021;shortage
0120;2021;shortage
0123;2021;shortage
0125;2021;shortage
0126;2021;shortage
0127;2021;shortage
0128;2021;shortage
0136;2021;shortage
0138;2021;shortage
0139;2021;shortage
0140;2021;shortage
0160;2021;shortage
0162;2021;shortage
0163;2021;shortage
0180;2021;shortage
0181;2021;shortage
0182;2021;shortage
0183;2021;shortage
0184;2021;shortage
0186;2021;shortage
0187;2021;shortage
0188;2021;shortage
0191;2021;shortage
0192;2021;shortage
0305;2021;shortage
0319;2021;shortage
0330;2021;shortage
0331;2021;shortage
0360;2021;shortage
0380;2021;shortage
0381;2021;shortage
0382;2021;shortage
0428;2021;shortage
0461;2021;shortage
0480;2021;shortage
0481;2021;shortage
0482;2021;shortage
0483;2021;shortage
0484;2021;shortage
0486;2021;shortage
0488;2021;shortage
0509;2021;shortage
0512;2021;surplus
0513;2021;shortage
0560;2021;shortage
0561;2021;shortage
0562;2021;balance
0563;2021;surplus
0580;2021;shortage
0581;2021;shortage
0582;2021;shortage
0583;2021;shortage
0584;2021;shortage
0586;2021;shortage
0604;2021;shortage
0617;2021;shortage
0642;2021;shortage
0643;2021;shortage
0662;2021;balance
0665;2021;balance
0680;2021;shortage
0682;2021;shortage
0683;2021;shortage
0684;2021;balance
0685;2021;shortage
0686;2021;shortage
0687;2021;shortage
0760;2021;balance
0761;2021;balance
0763;2021;shortage
0764;2021;shortage
0765;2021;shortage
0767;2021;balance
0780;2021;shortage
0781;2021;shortage
0821;2021;surplus
0834;2021;shortage
0840;2021;shortage
0860;2021;shortage
0861;2021;balance
0862;2021;shortage
0880;2021;shortage
0882;2021;balance
0883;2021;balance
0884;2021;balance
0885;2021;shortage
0980;2021;shortage
1060;2021;balance
1080;2021;shortage
1081;2021;shortage
1082;2021;shortage
1083;2021;shortage
1214;2021;shortage
1230;2021;shortage
1231;2021;shortage
1233;2021;shortage
1256;2021;balance
1257;2021;balance
1260;2021;shortage
1261;2021;shortage
1262;2021;shortage
1263;2021;shortage
1264;2021;shortage
1265;2021;balance
1266;2021;balance
1267;2021;shortage
1270;2021;shortage
1273;2021;shortage
1275;2021;shortage
1276;2021;balance
1277;2021;shortage
1278;2021;shortage
1280;2021;shortage
1281;2021;shortage
1282;2021;shortage
1283;2021;shortage
1284;2021;shortage
1285;2021;shortage
1286;2021;shortage
1287;2021;shortage
1290;2021;shortage
1291;2021;shortage
1292;2021;shortage
1293;2021;shortage
1315;2021;balance
1380;2021;shortage
1381;2021;shortage
1382;2021;shortage
1383;2021;shortage
1384;2021;shortage
1401;2021;shortage
1402;2021;shortage
1407;2021;shortage
1415;2021;shortage
1419;2021;shortage
1421;2021;shortage
1427;2021;shortage
1430;2021;shortage
1435;2021;shortage
1438;2021;balance
1439;2021;shortage
1440;2021;shortage
1441;2021;shortage
1442;2021;shortage
1443;2021;shortage
1444;2021;shortage
1445;2021;shortage
1446;2021;shortage
1452;2021;shortage
1460;2021;balance
1461;2021;shortage
1463;2021;shortage
1465;2021;balance
1466;2021;shortage
1470;2021;balance
1471;2021;shortage
1472;2021;shortage
1473;2021;shortage
1480;2021;shortage
1481;2021;shortage
1482;2021;shortage
1484;2021;balance
1485;2021;shortage
1486;2021;shortage
1487;2021;shortage
1488;2021;shortage
1489;2021;shortage
1490;2021;shortage
1491;2021;balance
1492;2021;balance
1493;2021;shortage
1494;2021;shortage
1495;2021;shortage
1496;2021;balance
1497;2021;shortage
1498;2021;balance
1499;2021;shortage
1715;2021;shortage
1730;2021;balance
1737;2021;shortage
1760;2021;balance
1761;2021;shortage
1762;2021;balance
1763;2021;shortage
1764;2021;shortage
1765;2021;balance
1766;2021;shortage
1780;2021;shortage
1781;2021;shortage
1782;2021;surplus
1783;2021;balance
1784;2021;balance
1785;2021;surplus
1814;2021;shortage
1860;2021;surplus
1861;2021;shortage
1862;2021;balance
1863;2021;surplus
1864;2021;surplus
1880;2021;shortage
1881;2021;shortage
1882;2021;shortage
1883;2021;shortage
1884;2021;shortage
1885;2021;shortage
1904;2021;balance
1907;2021;shortage
1960;2021;shortage
1961;2021;shortage
1962;2021;balance
1980;2021;shortage
1981;2021;shortage
1982;2021;shortage
1983;2021;shortage
1984;2021;shortage
2021;2021;shortage
2023;2021;balance
2026;2021;balance
2029;2021;shortage
2031;2021;balance
2034;2021;shortage
2039;2021;balance
2061;2021;balance
2062;2021;shortage
2080;2021;shortage
2081;2021;shortage
2082;2021;shortage
2083;2021;shortage
2084;2021;shortage
2085;2021;shortage
2101;2021;shortage
2104;2021;balance
2121;2021;shortage
2132;2021;balance
2161;2021;balance
2180;2021;shortage
2181;2021;shortage
2182;2021;shortage
2183;2021;balance
2184;2021;shortage
2260;2021;shortage
2262;2021;balance
2280;2021;balance
2281;2021;shortage
2282;2021;surplus
2283;2021;surplus
2284;2021;shortage
2305;2021;surplus
2309;2021;balance
2313;2021;surplus
2321;2021;balance
2326;2021;shortage
2361;2021;surplus
2380;2021;shortage
2401;2021;shortage
2403;2021;balance
2404;2021;surplus
2409;2021;shortage
2417;2021;shortage
2418;2021;balance
2421;2021;balance
2422;2021;surplus
2425;2021;balance
2460;2021;shortage
2462;2021;surplus
2463;2021;balance
2480;2021;shortage
2481;2021;balance
2482;2021;shortage
2505;2021;balance
2506;2021;shortage
2513;2021;balance
2514;2021;shortage
2518;2021;balance
2521;2021;balance
2523;2021;shortage
2560;2021;shortage
2580;2021;shortage
2581;2021;shortage
2582;2021;shortage
2583;2021;surplus
2584;2021;shortage
0114;2022;balance
0115;2022;shortage
0117;2022;shortage
0120;2022;shortage
0123;2022;shortage
0125;2022;shortage
0126;2022;shortage
0127;2022;shortage
0128;2022;shortage
0136;2022;shortage
0138;2022;shortage
0139;2022;shortage
0140;2022;balance
0160;2022;shortage
0162;2022;shortage
0163;2022;shortage
0180;2022;shortage
0181;2022;shortage
0182;2022;shortage
0183;2022;shortage
0184;2022;shortage
0186;2022;shortage
0187;2022;shortage
0188;2022;shortage
0191;2022;shortage
0192;2022;shortage
0305;2022;shortage
0319;2022;shortage
0330;2022;shortage
0331;2022;shortage
0360;2022;shortage
0380;2022;shortage
0381;2022;shortage
0382;2022;balance
0461;2022;shortage
0480;2022;shortage
0481;2022;shortage
0482;2022;shortage
0483;2022;shortage
0484;2022;shortage
0486;2022;shortage
0488;2022;shortage
0509;2022;shortage
0512;2022;surplus
0513;2022;shortage
0560;2022;shortage
0561;2022;shortage
0562;2022;balance
0563;2022;balance
0580;2022;shortage
0581;2022;shortage
0582;2022;shortage
0583;2022;shortage
0584;2022;shortage
0586;2022;shortage
0604;2022;shortage
0617;2022;shortage
0642;2022;shortage
0643;2022;shortage
0662;2022;balance
0665;2022;shortage
0680;2022;shortage
0682;2022;shortage
0683;2022;shortage
0684;2022;balance
0685;2022;shortage
0686;2022;shortage
0687;2022;shortage
0760;2022;balance
0761;2022;balance
0763;2022;shortage
0764;2022;shortage
0767;2022;balance
0780;2022;shortage
0781;2022;shortage
0821;2022;balance
0834;2022;shortage
0840;2022;shortage
0860;2022;shortage
0861;2022;balance
0880;2022;shortage
0881;2022;balance
0882;2022;balance
0883;2022;balance
0884;2022;shortage
0885;2022;shortage
0980;2022;shortage
1060;2022;balance
1080;2022;shortage
1081;2022;balance
1082;2022;shortage
1083;2022;shortage
1214;2022;shortage
1230;2022;shortage
1231;2022;shortage
1233;2022;shortage
1256;2022;balance
1257;2022;balance
1260;2022;shortage
1261;2022;shortage
1262;2022;shortage
1263;2022;shortage
1264;2022;shortage
1265;2022;shortage
1266;2022;shortage
1267;2022;shortage
1270;2022;shortage
1272;2022;shortage
1273;2022;balance
1275;2022;balance
1276;2022;shortage
1277;2022;shortage
1278;2022;shortage
1280;2022;shortage
1281;2022;shortage
1282;2022;shortage
1283;2022;shortage
1284;2022;shortage
1285;2022;balance
1286;2022;shortage
1287;2022;shortage
1290;2022;shortage
1291;2022;shortage
1292;2022;shortage
1293;2022;shortage
1315;2022;balance
1380;2022;shortage
1381;2022;shortage
1382;2022;shortage
1383;2022;shortage
1384;2022;shortage
1401;2022;shortage
1402;2022;shortage
1407;2022;shortage
1415;2022;shortage
1419;2022;shortage
1421;2022;shortage
1427;2022;shortage
1430;2022;shortage
1435;2022;shortage
1438;2022;balance
1439;2022;balance
1440;2022;shortage
1441;2022;shortage
1442;2022;shortage
1444;2022;shortage
1445;2022;shortage
1446;2022;shortage
1447;2022;shortage
1452;2022;shortage
1460;2022;balance
1461;2022;shortage
1462;2022;shortage
1463;2022;shortage
1465;2022;balance
1466;2022;shortage
1470;2022;shortage
1471;2022;shortage
1472;2022;shortage
1473;2022;shortage
1480;2022;shortage
1481;2022;balance
1482;2022;shortage
1484;2022;shortage
1485;2022;balance
1486;2022;balance
1487;2022;shortage
1488;2022;shortage
1489;2022;shortage
1490;2022;shortage
1491;2022;balance
1492;2022;balance
1493;2022;shortage
1494;2022;shortage
1495;2022;balance
1496;2022;balance
1497;2022;shortage
1498;2022;shortage
1499;2022;shortage
1715;2022;shortage
1730;2022;surplus
1737;2022;shortage
1760;2022;balance
1761;2022;shortage
1762;2022;balance
1763;2022;balance
