kommun;period;key;count;per100k
0114;2022;vandalism;1567;3228.0
0114;2023;burglary;362;729.0
0114;2023;drugs_weapons;481;968.0
0114;2023;person;1312;2641.0
0114;2023;theft;1340;2697.0
0114;2023;total;6646;13376.0
0114;2023;vandalism;1880;3784.0
0114;2024;burglary;185;369.0
0114;2024;drugs_weapons;434;864.0
0114;2024;person;1604;3195.0
0114;2024;theft;1111;2213.0
0114;2024;total;6406;12760.0
0114;2024;vandalism;1412;2813.0
0114;2025;burglary;176;349.0
0114;2025;drugs_weapons;381;756.0
0114;2025;person;1448;2873.0
0114;2025;theft;913;1811.0
0114;2025;total;5712;11331.0
0114;2025;vandalism;1140;2262.0
0115;1996;burglary;235;997.0
0115;1996;drugs_weapons;30;127.0
0115;1996;person;187;793.0
0115;1996;theft;1055;4476.0
0115;1996;total;1638;6949.0
0115;1996;vandalism;216;916.0
0115;1997;burglary;267;1122.0
0115;1997;drugs_weapons;42;177.0
0115;1997;person;218;916.0
0115;1997;theft;1145;4812.0
0115;1997;total;1719;7225.0
0115;1997;vandalism;200;841.0
0115;1998;burglary;345;1433.0
0115;1998;drugs_weapons;53;220.0
0115;1998;person;252;1047.0
0115;1998;theft;1260;5234.0
0115;1998;total;1946;8084.0
0115;1998;vandalism;221;918.0
0115;1999;burglary;290;1186.0
0115;1999;drugs_weapons;118;483.0
0115;1999;person;318;1301.0
0115;1999;theft;1173;4799.0
0115;1999;total;2018;8256.0
0115;1999;vandalism;257;1051.0
0115;2000;burglary;288;1155.0
0115;2000;drugs_weapons;28;112.0
0115;2000;person;301;1207.0
0115;2000;theft;1368;5486.0
0115;2000;total;2240;8984.0
0115;2000;vandalism;204;818.0
0115;2001;burglary;396;1557.0
0115;2001;drugs_weapons;46;181.0
0115;2001;person;373;1466.0
0115;2001;theft;1665;6546.0
0115;2001;total;2868;11276.0
0115;2001;vandalism;312;1227.0
0115;2002;burglary;220;854.0
0115;2002;drugs_weapons;84;326.0
0115;2002;person;364;1412.0
0115;2002;theft;1169;4536.0
0115;2002;total;2287;8873.0
0115;2002;vandalism;302;1172.0
0115;2003;burglary;299;1145.0
